,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-2301738737.272464,-13987939.329121,-457687216.315426,-275518742.420831,-4229988480.0,
Tax Rate For Calcs,0.224,0.255604,0.282392,0.247866,0.24,
Normalized EBITDA,70461689750.0,52729594370.0,60511954590.0,46059502460.0,55478480630.0,
Total Unusual Items,-10275636000.0,-54725000.0,-1620751000.0,-1111565000.0,-17624952000.0,
Total Unusual Items Excluding Goodwill,-10275636000.0,-54725000.0,-1620751000.0,-1111565000.0,-17624952000.0,
Net Income From Continuing Operation Net Minority Interest,38569593210.0,36812610730.0,36427747730.0,29061819260.0,39967468720.0,
Reconciled Depreciation,5330476000.0,5272952000.0,5268901000.0,3873737000.0,2545310000.0,
Reconciled Cost Of Revenue,22954067490.0,24235306680.0,23638290740.0,20798191580.0,22486374430.0,
EBITDA,60186053750.0,52674869370.0,58891203590.0,44947937460.0,37853528630.0,
EBIT,54855577750.0,47401917370.0,53622302590.0,41074200460.0,35308218630.0,
Net Interest Income,5541091620.0,4156490570.0,2831392440.0,3275336430.0,3677291190.0,
Interest Expense,,,370638000.0,8180000.0,7600000.0,7154000.0
Interest Income,,,3202031000.0,3283517000.0,3684891000.0,3525690000.0
Normalized Income,46543490472.72754,36853347790.670876,37590811513.68457,29897865517.57917,53362432240.0,
Net Income From Continuing And Discontinued Operation,38569593210.0,36812610730.0,36427747730.0,29061819260.0,39967468720.0,
Total Expenses,61305523490.0,58496140680.0,53590102740.0,50866882580.0,51746391430.0,
Rent Expense Supplemental,164714000.0,144690000.0,164680000.0,174749000.0,110587000.0,
Total Operating Income As Reported,57825523740.0,47401917350.0,56670315010.0,38953576820.0,46462176770.0,
Diluted Average Shares,,11334273.0,11176487.0,11009852.0,,11277949.0
Basic Average Shares,,11099283.0,10934378.0,10760531.0,,10979624.0
Diluted EPS,,3269.0,3277.0,2640.0,,3570.0
Basic EPS,,3317.0,3331.0,2701.0,,3667.0
Net Income Common Stockholders,38569593210.0,36812610730.0,36427747730.0,29061819260.0,39967468720.0,
Net Income,38569593210.0,36812610730.0,36427747730.0,29061819260.0,39967468720.0,
Minority Interests,-1260100530.0,-1231003740.0,-1786069500.0,-1825346790.0,-1432362040.0,
Net Income Including Noncontrolling Interests,39829693760.0,38043614460.0,38213817230.0,30887166050.0,41399830760.0,
Net Income Continuous Operations,39829693760.0,38043614460.0,38213817230.0,30887166050.0,41399830760.0,
Tax Provision,11497207200.0,13063087080.0,15037847350.0,10178854420.0,-6099212140.0,
Pretax Income,51326900960.0,51106701540.0,53251664590.0,41066020460.0,35300618630.0,
Other Non Operating Income Expenses,-1251155000.0,-258253000.0,-682793000.0,-301563000.0,-2209733000.0,
Special Income Charges,-7569532000.0,-54725000.0,-1898765000.0,-349660000.0,-17419214000.0,
Other Special Charges,91476000.0,57753000.0,49893000.0,28706000.0,389153000.0,
Write Off,1884000.0,-3028000.0,-4940000.0,314057000.0,0.0,
Impairment Of Capital Assets,7476172000.0,,1853812000.0,6897000.0,17030061000.0,1080725000.0
Net Non Operating Interest Income Expense,5541091620.0,4156490570.0,2831392440.0,3275336430.0,3677291190.0,
Total Other Finance Cost,5967485380.0,-4156490570.0,560.0,570.0,-190.0,
Interest Expense Non Operating,,,370638000.0,8180000.0,7600000.0,7154000.0
Interest Income Non Operating,,,3202031000.0,3283517000.0,3684891000.0,3525690000.0
Operating Income,57825524280.0,47401917370.0,56670315180.0,38953577240.0,46462176620.0,
Operating Expense,38351456000.0,34260834000.0,29951812000.0,30068691000.0,29260017000.0,
Other Operating Expenses,258591000.0,23331000.0,19348000.0,94338000.0,172019000.0,
Depreciation And Amortization In Income Statement,2634655000.0,2617982000.0,2642624000.0,2498149000.0,1687771000.0,
Amortization,1432600000.0,1407300000.0,1369878000.0,1228610000.0,437013000.0,
Depreciation Income Statement,1202055000.0,1210682000.0,1272746000.0,1269539000.0,1250758000.0,
Research And Development,3733464000.0,3100845000.0,2483668000.0,2380878000.0,2413947000.0,
Selling General And Administration,18164490000.0,17035486000.0,14316379000.0,14343698000.0,15941693000.0,
Selling And Marketing Expense,16687234000.0,15626492000.0,13072580000.0,13039908000.0,14275723000.0,
General And Administrative Expense,1477256000.0,1408994000.0,1243799000.0,1303790000.0,1665970000.0,
Rent And Landing Fees,164714000.0,144690000.0,164680000.0,174749000.0,110587000.0,
Gross Profit,96176980280.0,81662751370.0,86622127180.0,69022268240.0,75722193620.0,
Cost Of Revenue,22954067490.0,24235306680.0,23638290740.0,20798191580.0,22486374430.0,
Total Revenue,119131047770.0,105898058050.0,110260417920.0,89820459820.0,98208568050.0,
Operating Revenue,119131047770.0,105898058050.0,110260417920.0,89820459820.0,98208568050.0,
