,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,21000.0,21143.109834,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.035239,0.037262,0.018887,
Normalized EBITDA,32455000.0,33271000.0,45789000.0,36274000.0,16240000.0,
Total Unusual Items,,100000.0,600000.0,,,700000.0
Total Unusual Items Excluding Goodwill,,100000.0,600000.0,,,700000.0
Net Income From Continuing Operation Net Minority Interest,105383000.0,24319000.0,34907000.0,25682000.0,6857000.0,
Reconciled Depreciation,7468000.0,6849000.0,6731000.0,6137000.0,5680000.0,
Reconciled Cost Of Revenue,67350000.0,59248000.0,60781000.0,55309000.0,49611000.0,
EBITDA,32455000.0,33371000.0,46389000.0,36274000.0,16240000.0,
EBIT,24987000.0,26522000.0,39658000.0,30137000.0,10560000.0,
Net Interest Income,-11454000.0,-191000.0,-976000.0,-3461000.0,-14071000.0,
Interest Expense,3354000.0,3491000.0,3476000.0,3461000.0,3571000.0,
Interest Income,,3300000.0,2500000.0,,,3300000.0
Normalized Income,105383000.0,24240000.0,34328143.109834,25682000.0,6857000.0,
Net Income From Continuing And Discontinued Operation,105383000.0,24319000.0,34907000.0,25682000.0,6857000.0,
Total Expenses,139491000.0,120523000.0,120803000.0,116094000.0,112980000.0,
Total Operating Income As Reported,21273000.0,23300000.0,36567000.0,27443000.0,8644000.0,
Diluted Average Shares,40927898.0,40748023.0,40558953.0,39914487.0,35211121.0,
Basic Average Shares,34220360.0,34112452.0,33912669.0,33721603.0,33592408.0,
Diluted EPS,2.62,0.66,0.92,0.7,0.19,
Basic EPS,3.08,0.71,1.03,0.76,0.2,
Diluted NI Availto Com Stockholders,105383000.0,24319000.0,34907000.0,25682000.0,6857000.0,
Net Income Common Stockholders,105383000.0,24319000.0,34907000.0,25682000.0,6857000.0,
Net Income,105383000.0,24319000.0,34907000.0,25682000.0,6857000.0,
Net Income Including Noncontrolling Interests,105383000.0,24319000.0,34907000.0,25682000.0,6857000.0,
Net Income Continuous Operations,105383000.0,24319000.0,34907000.0,25682000.0,6857000.0,
Tax Provision,-83750000.0,-1288000.0,1275000.0,994000.0,132000.0,
Pretax Income,21633000.0,23031000.0,36182000.0,26676000.0,6989000.0,
Other Income Expense,11721000.0,100000.0,600000.0,2694000.0,12393000.0,
Other Non Operating Income Expenses,,,,2694000.0,,
Gain On Sale Of Security,,100000.0,600000.0,,,700000.0
Net Non Operating Interest Income Expense,-11454000.0,-191000.0,-976000.0,-3461000.0,-14071000.0,
Interest Expense Non Operating,3354000.0,3491000.0,3476000.0,3461000.0,3571000.0,
Interest Income Non Operating,,3300000.0,2500000.0,,,3300000.0
Operating Income,21273000.0,23300000.0,36567000.0,27443000.0,8644000.0,
Operating Expense,72141000.0,61275000.0,60022000.0,60785000.0,63369000.0,
Research And Development,20701000.0,15260000.0,15934000.0,17160000.0,16464000.0,
Selling General And Administration,51440000.0,46015000.0,44088000.0,43625000.0,46905000.0,
Selling And Marketing Expense,1265000.0,1076000.0,,,,
General And Administrative Expense,50175000.0,44939000.0,44088000.0,43625000.0,46905000.0,
Other Gand A,19881000.0,15705000.0,16781000.0,15954000.0,16997000.0,
Salaries And Wages,30294000.0,29234000.0,27307000.0,27671000.0,29908000.0,
Gross Profit,93414000.0,84575000.0,96589000.0,88228000.0,72013000.0,
Cost Of Revenue,67350000.0,59248000.0,60781000.0,55309000.0,49611000.0,
Total Revenue,160764000.0,143823000.0,157370000.0,143537000.0,121624000.0,
Operating Revenue,160764000.0,143823000.0,157370000.0,143537000.0,121438000.0,
