,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,824272800.0,-26265523.795883,-980252993.935534,-93522360.198565,236276506.731384,
Tax Rate For Calcs,0.24,0.049185,0.244058,0.157274,0.213838,
Normalized EBITDA,9473235050.0,10126528560.0,17544439460.0,16036267640.0,17938382700.0,
Total Unusual Items,3434470000.0,-534019000.0,-4016479000.0,-594645000.0,1104930000.0,
Total Unusual Items Excluding Goodwill,3434470000.0,-534019000.0,-4016479000.0,-594645000.0,1104930000.0,
Net Income From Continuing Operation Net Minority Interest,6230050240.0,7889266110.0,9202576790.0,11915885640.0,13953754390.0,
Reconciled Depreciation,762264640.0,732575470.0,726778240.0,689185150.0,692495810.0,
Reconciled Cost Of Revenue,15254818540.0,10605687480.0,11789127980.0,13393613820.0,13471155180.0,
EBITDA,12907705050.0,9592509560.0,13527960460.0,15441622640.0,19043312700.0,
EBIT,12145440410.0,8859934090.0,12801182220.0,14752437490.0,18350816890.0,
Net Interest Income,28079410.0,21605120.0,-49808800.0,-49804890.0,6191080.0,
Interest Expense,577797000.0,562565000.0,627531000.0,632681000.0,601597000.0,
Interest Income,605876000.0,584170000.0,577721000.0,582876000.0,607788000.0,
Normalized Income,3619853040.0,8397019586.204117,12238802796.064466,12417008279.801435,13085100896.731384,
Net Income From Continuing And Discontinued Operation,6230050240.0,7889266110.0,9202576790.0,11915885640.0,13953754390.0,
Total Expenses,34125306540.0,25627549480.0,22536214980.0,22863571820.0,23005772180.0,
Rent Expense Supplemental,125768000.0,244948000.0,116404000.0,125200000.0,144226000.0,
Total Operating Income As Reported,12248732920.0,7612422400.0,17272670320.0,14551634200.0,13787697780.0,
Diluted Average Shares,,89650751.0,89345406.0,89336826.0,,89111224.0
Basic Average Shares,,89650751.0,89345406.0,89336826.0,,89111224.0
Diluted EPS,,88.0,103.0,133.0,,54.0
Basic EPS,,88.0,103.0,133.0,,54.0
Net Income Common Stockholders,6230050240.0,7889266110.0,9202576790.0,11915885640.0,13953754390.0,
Net Income,6230050240.0,7889266110.0,9202576790.0,11915885640.0,13953754390.0,
Minority Interests,,,,16803580.0,,
Net Income Including Noncontrolling Interests,6230050240.0,7889266110.0,9202576790.0,11899082050.0,13953754390.0,
Net Income Continuous Operations,6230050240.0,7889266110.0,9202576790.0,11899082050.0,13953754390.0,
Tax Provision,5337593160.0,408102980.0,2971074430.0,2220674440.0,3795465480.0,
Pretax Income,11567643410.0,8297369090.0,12173651220.0,14119756490.0,17749219890.0,
Other Non Operating Income Expenses,-2785090000.0,59455000.0,-1368896000.0,10597000.0,18049000.0,
Special Income Charges,-61000.0,-15626000.0,69704000.0,-69314000.0,-95439000.0,
Other Special Charges,61000.0,15626000.0,-69704000.0,69314000.0,95439000.0,
Net Non Operating Interest Income Expense,28079410.0,21605120.0,-49808800.0,-49804890.0,6191080.0,
Total Other Finance Cost,-410.0,-120.0,-1200.0,-110.0,-80.0,
Interest Expense Non Operating,577797000.0,562565000.0,627531000.0,632681000.0,601597000.0,
Interest Income Non Operating,605876000.0,584170000.0,577721000.0,582876000.0,607788000.0,
Operating Income,12248733230.0,7612422650.0,17272669950.0,14551634220.0,13787697360.0,
Operating Expense,18870488000.0,15021862000.0,10747087000.0,9469958000.0,9534617000.0,
Other Operating Expenses,1166106000.0,787313000.0,155972000.0,-420831000.0,-1840613000.0,
Depreciation And Amortization In Income Statement,648870000.0,622652000.0,620550000.0,587661000.0,588230000.0,
Amortization,33029000.0,32757000.0,31194000.0,31267000.0,30307000.0,
Depreciation Income Statement,615841000.0,589895000.0,589356000.0,556394000.0,557923000.0,
Research And Development,564293000.0,463379000.0,452997000.0,404376000.0,428144000.0,
Selling General And Administration,11380873000.0,9691364000.0,6548571000.0,5922558000.0,7297003000.0,
Selling And Marketing Expense,10206860000.0,8823670000.0,5810293000.0,5235585000.0,6530680000.0,
General And Administrative Expense,1174013000.0,867694000.0,738278000.0,686973000.0,766323000.0,
Rent And Landing Fees,125768000.0,244948000.0,116404000.0,125200000.0,144226000.0,
Gross Profit,31119221230.0,22634284650.0,28019756950.0,24021592220.0,23322314360.0,
Cost Of Revenue,15254818540.0,10605687480.0,11789127980.0,13393613820.0,13471155180.0,
Total Revenue,46374039770.0,33239972130.0,39808884930.0,37415206040.0,36793469540.0,
Operating Revenue,46374039770.0,33239972130.0,39808884930.0,37415206040.0,36793469540.0,
